TIME,TEAM,PLAY,SCORE,Game,Date,TEAM_NAME,OPPONENT_NAME,HALF,TEAM_SCORE,OPPONENT_SCORE,OPPONENT_SCORE_FILLED,TEAM_SCORE_FILLED,ACTING_TEAM,OPPONENT_POINTS,TEAM_POINTS,IS_END_OF_POSSESSION,PLAYER,TEAM_ROSTER_ON_COURT,OPPONENT_ROSTER_ON_COURT,TIME_SECONDS,NEXT_TIME_SECONDS,DURATION_SECONDS,PTS,FGM,FGA,3PM,3PA,FTM,FTA,FOULS,TO,AST,STL,OREB,DREB,Driver/Slasher,Mid-Range Specialist,Driver/Shooter,Unclassified,Not Scouted,Post Scorer,Spot-Up Shooter
20:00,,Devon Richardson vs Brock Marino (Aurora gains possession),(0-0),6510366,2025-11-19,Wis.-Whitewater,Aurora,1,0.0,0.0,0.0,0.0,,0,0,False,Devon Richardson,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara","Cullen Rauls,Devon Richardson,Jeffery Hillmer,Juan Madrigal,Mekhi Doby",1200,1187.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0
19:47,,Personal Foul on Wis.-Whitewater's Isaac Verges (Devon Richardson draws the foul),,6510366,2025-11-19,Wis.-Whitewater,Aurora,1,,,0.0,0.0,Wis.-Whitewater,0,0,False,Isaac Verges,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara","Cullen Rauls,Devon Richardson,Jeffery Hillmer,Juan Madrigal,Mekhi Doby",1187,1167.0,20.0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0
19:27,,Layup MISSED by Aurora's Jeffery Hillmer,,6510366,2025-11-19,Wis.-Whitewater,Aurora,1,,,0.0,0.0,Aurora,0,0,False,Jeffery Hillmer,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara","Cullen Rauls,Devon Richardson,Jeffery Hillmer,Juan Madrigal,Mekhi Doby",1167,1162.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0
19:22,,Defensive rebound by Wis.-Whitewater's JR Lukenbill,,6510366,2025-11-19,Wis.-Whitewater,Aurora,1,,,0.0,0.0,Wis.-Whitewater,0,0,False,JR Lukenbill,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara","Cullen Rauls,Devon Richardson,Jeffery Hillmer,Juan Madrigal,Mekhi Doby",1162,1149.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0
19:09,,Turnover by Wis.-Whitewater 's Brock Marino,,6510366,2025-11-19,Wis.-Whitewater,Aurora,1,,,0.0,0.0,,0,0,True,Brock Marino,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara","Cullen Rauls,Devon Richardson,Jeffery Hillmer,Juan Madrigal,Mekhi Doby",1149,1149.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,0
19:09,,Steal by Aurora's Cullen Rauls,,6510366,2025-11-19,Wis.-Whitewater,Aurora,1,,,0.0,0.0,Aurora,0,0,False,Cullen Rauls,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara","Cullen Rauls,Devon Richardson,Jeffery Hillmer,Juan Madrigal,Mekhi Doby",1149,1137.0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0,0
18:57,,Jumper by Aurora's Jeffery Hillmer,(3-0),6510366,2025-11-19,Wis.-Whitewater,Aurora,1,0.0,3.0,3.0,0.0,Aurora,3,0,True,Jeffery Hillmer,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara","Cullen Rauls,Devon Richardson,Jeffery Hillmer,Juan Madrigal,Mekhi Doby",1137,1129.0,8.0,3,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0
18:49,,Jumper MISSED by Wis.-Whitewater's Luke Bara,,6510366,2025-11-19,Wis.-Whitewater,Aurora,1,,,3.0,0.0,Wis.-Whitewater,0,0,False,Luke Bara,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara","Cullen Rauls,Devon Richardson,Jeffery Hillmer,Juan Madrigal,Mekhi Doby",1129,1125.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0
18:45,,Defensive rebound by Aurora's Cullen Rauls,,6510366,2025-11-19,Wis.-Whitewater,Aurora,1,,,3.0,0.0,Aurora,0,0,False,Cullen Rauls,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara","Cullen Rauls,Devon Richardson,Jeffery Hillmer,Juan Madrigal,Mekhi Doby",1125,1118.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0
18:38,,Turnover by Aurora 's Cullen Rauls,,6510366,2025-11-19,Wis.-Whitewater,Aurora,1,,,3.0,0.0,,0,0,True,Cullen Rauls,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara","Cullen Rauls,Devon Richardson,Jeffery Hillmer,Juan Madrigal,Mekhi Doby",1118,1106.0,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,0
