TIME,TEAM,PLAY,SCORE,Game,Date,TEAM_NAME,OPPONENT_NAME,HALF,TEAM_SCORE,OPPONENT_SCORE,OPPONENT_SCORE_FILLED,TEAM_SCORE_FILLED,ACTING_TEAM,OPPONENT_POINTS,TEAM_POINTS,IS_END_OF_POSSESSION,PLAYER,TEAM_ROSTER_ON_COURT,OPPONENT_ROSTER_ON_COURT,TIME_SECONDS,NEXT_TIME_SECONDS,DURATION_SECONDS,PTS,FGM,FGA,3PM,3PA,FTM,FTA,FOULS,TO,AST,STL,OREB,DREB,Not Scouted
20:00,,Charles Gitonga vs Brock Marino (St. Thomas (TX) gains possession),(0-0),6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,0.0,0.0,0.0,0.0,,0,0,False,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1200,1174.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19:34,,2 Pointer by St. Thomas (TX)'s Corey Thompson,(0-2),6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,0.0,2.0,2.0,0.0,,2,0,True,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1174,1162.0,12.0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
19:22,,Turnover by Wis.-Whitewater 's Isaac Verges,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,2.0,0.0,,0,0,True,Isaac Verges,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1162,1162.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19:22,,Steal by St. Thomas (TX)'s Angel Johnson,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,2.0,0.0,,0,0,False,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1162,1156.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
19:16,,Jumper MISSED by St. Thomas (TX)'s Nathan Kongolo,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,2.0,0.0,,0,0,False,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1156,1154.0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
19:14,,Defensive rebound by Wis.-Whitewater's Collin Madson,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,2.0,0.0,Wis.-Whitewater,0,0,False,Collin Madson,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1154,1149.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
19:09,,Turnover by Wis.-Whitewater 's Isaac Verges,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,2.0,0.0,,0,0,True,Isaac Verges,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1149,1149.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19:09,,Steal by St. Thomas (TX)'s Nathan Kongolo,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,2.0,0.0,,0,0,False,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1149,1145.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
19:05,,Layup by St. Thomas (TX)'s Angel Johnson,(0-4),6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,0.0,4.0,4.0,0.0,,2,0,True,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1145,1145.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
19:05,,Assist by St. Thomas (TX)'s Nathan Kongolo,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,4.0,0.0,,0,0,False,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1145,1114.0,31.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
18:34,,Layup MISSED by Wis.-Whitewater's Isaac Verges,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,4.0,0.0,Wis.-Whitewater,0,0,False,Isaac Verges,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1114,1111.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18:31,,Defensive rebound by St. Thomas (TX)'s Nicholas Buffalo,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,4.0,0.0,,0,0,False,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1111,1102.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
18:22,,Layup MISSED by St. Thomas (TX)'s Corey Thompson,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,4.0,0.0,,0,0,False,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1102,1099.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18:19,,Offensive rebound by St. Thomas (TX)'s Corey Thompson,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,4.0,0.0,,0,0,False,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1099,1098.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
18:18,,Turnover by St. Thomas (TX) 's Corey Thompson,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,4.0,0.0,,0,0,True,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1098,1084.0,14.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18:04,,Layup by Wis.-Whitewater's Collin Madson,(2-4),6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,2.0,4.0,4.0,2.0,Wis.-Whitewater,0,2,True,Collin Madson,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1084,1084.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
18:04,,Assist by Wis.-Whitewater's Luke Bara,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,4.0,2.0,Wis.-Whitewater,0,0,False,Luke Bara,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1084,1063.0,21.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17:43,,2 Pointer by St. Thomas (TX)'s Angel Johnson,(2-6),6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,2.0,6.0,6.0,2.0,,2,0,True,,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1063,1039.0,24.0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
17:19,,Jumper by Wis.-Whitewater's JR Lukenbill,(5-6),6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,5.0,6.0,6.0,5.0,Wis.-Whitewater,0,3,True,JR Lukenbill,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1039,1039.0,0.0,3,1,1,1,1,0,0,0,0,0,0,0,0,1
17:19,,Assist by Wis.-Whitewater's Collin Madson,,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,6.0,5.0,Wis.-Whitewater,0,0,False,Collin Madson,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1039,1025.0,14.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17:05,,Personal Foul on Wis.-Whitewater's Luke Bara (Corey Thompson draws the foul),,6512406,2025-11-14,Wis.-Whitewater,St. Thomas,1,,,6.0,5.0,Wis.-Whitewater,0,0,False,Luke Bara,"Brock Marino,Collin Madson,Isaac Verges,JR Lukenbill,Luke Bara",,1025,1015.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
