TIME,TEAM,PLAY,SCORE,Game,Date,TEAM_NAME,OPPONENT_NAME,HALF,TEAM_SCORE,OPPONENT_SCORE,OPPONENT_SCORE_FILLED,TEAM_SCORE_FILLED,ACTING_TEAM,OPPONENT_POINTS,TEAM_POINTS,IS_END_OF_POSSESSION,PLAYER,TEAM_ROSTER_ON_COURT,OPPONENT_ROSTER_ON_COURT,TIME_SECONDS,NEXT_TIME_SECONDS,DURATION_SECONDS,PTS,FGM,FGA,3PM,3PA,FTM,FTA,FOULS,TO,AST,STL,OREB,DREB,Post Scorer,Driver/Shooter,Driver/Slasher,Spot-Up Shooter,Unclassified,Mid-Range Specialist
20:00,,Rashad Rogers vs Aidyn Boone (Wis.-Whitewater gains possession),(0-0),6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,0.0,0.0,0.0,0.0,,0,0,False,Rashad Rogers,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1200,1189.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0
19:49,,Turnover by Wis.-Whitewater 's Collin Madson,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,0.0,0.0,,0,0,True,Collin Madson,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1189,1159.0,30.0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0
19:19,,Jumper by Elmhurst's Dominic Trelenberg,(3-0),6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,0.0,3.0,3.0,0.0,Elmhurst,3,0,True,Dominic Trelenberg,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1159,1159.0,0.0,3,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0
19:19,,Assist by Elmhurst's Luke Smith,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,0.0,Elmhurst,0,0,False,Luke Smith,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1159,1133.0,26.0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0
18:53,,2 Pointer by Wis.-Whitewater's Isaac Verges,(3-2),6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,2.0,3.0,3.0,2.0,Wis.-Whitewater,0,2,True,Isaac Verges,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1133,1110.0,23.0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0
18:30,,Jumper MISSED by Elmhurst's Aidyn Boone,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,2.0,Elmhurst,0,0,False,Aidyn Boone,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1110,1107.0,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0
18:27,,Defensive rebound by Wis.-Whitewater's Rashad Rogers,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,2.0,Wis.-Whitewater,0,0,False,Rashad Rogers,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1107,1100.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0
18:20,,2 Pointer by Wis.-Whitewater's Luke Bara,(3-4),6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,4.0,3.0,3.0,4.0,Wis.-Whitewater,0,2,True,Luke Bara,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1100,1084.0,16.0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0
18:04,,Jumper MISSED by Elmhurst's Vinnie Adjahoungbeta,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,4.0,Elmhurst,0,0,False,Vinnie Adjahoungbeta,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1084,1080.0,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0
18:00,,Offensive rebound by Elmhurst's Dominic Trelenberg,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,4.0,Elmhurst,0,0,False,Dominic Trelenberg,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1080,1079.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0
17:59,,Jumper MISSED by Elmhurst's Luke Smith,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,4.0,Elmhurst,0,0,False,Luke Smith,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1079,1075.0,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0
17:55,,Defensive rebound by Wis.-Whitewater's Collin Madson,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,4.0,Wis.-Whitewater,0,0,False,Collin Madson,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1075,1068.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0
17:48,,Personal Foul on Elmhurst's Vinnie Adjahoungbeta (Luke Bara draws the foul),,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,4.0,Elmhurst,0,0,False,Vinnie Adjahoungbeta,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1068,1068.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0
17:48,,Offensive foul by Wis.-Whitewater's Rashad Rogers,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,4.0,Wis.-Whitewater,0,0,True,Rashad Rogers,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1068,1068.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,1,0,0
17:48,,Offensive turnover by Wis.-Whitewater's Rashad Rogers,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,4.0,Wis.-Whitewater,0,0,True,Rashad Rogers,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1068,1046.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0
17:26,,Turnover by Elmhurst 's Vinnie Adjahoungbeta,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,4.0,,0,0,True,Vinnie Adjahoungbeta,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1046,1046.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0
17:26,,Steal by Wis.-Whitewater's Richie Warren,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,4.0,Wis.-Whitewater,0,0,False,Richie Warren,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1046,1038.0,8.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0
17:18,,3 Pointer by Wis.-Whitewater's Luke Bara,(3-7),6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,7.0,3.0,3.0,7.0,Wis.-Whitewater,0,3,True,Luke Bara,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1038,1023.0,15.0,3,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0
17:03,,Turnover by Elmhurst 's Sebastian Blachut,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,7.0,,0,0,True,Sebastian Blachut,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1023,1023.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0
17:03,,Steal by Wis.-Whitewater's Richie Warren,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,7.0,Wis.-Whitewater,0,0,False,Richie Warren,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1023,1014.0,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0
16:54,,3 Pointer by Wis.-Whitewater's Luke Bara,(3-10),6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,10.0,3.0,3.0,10.0,Wis.-Whitewater,0,3,True,Luke Bara,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1014,1003.0,11.0,3,1,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0
16:43,,Personal Foul on Wis.-Whitewater's Rashad Rogers (Aidyn Boone draws the foul),,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,10.0,Wis.-Whitewater,0,0,False,Rashad Rogers,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut,Vinnie Adjahoungbeta",1003,1003.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0
16:43,,Subbing out for Elmhurst-Vinnie Adjahoungbeta,,6512971,2025-12-02,Wis.-Whitewater,Elmhurst,1,,,3.0,10.0,,0,0,False,Vinnie Adjahoungbeta,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Aidyn Boone,Dominic Trelenberg,Luke Smith,Sebastian Blachut",1003,1003.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
