TIME,TEAM,PLAY,SCORE,Game,Date,TEAM_NAME,OPPONENT_NAME,HALF,TEAM_SCORE,OPPONENT_SCORE,OPPONENT_SCORE_FILLED,TEAM_SCORE_FILLED,ACTING_TEAM,OPPONENT_POINTS,TEAM_POINTS,IS_END_OF_POSSESSION,PLAYER,TEAM_ROSTER_ON_COURT,OPPONENT_ROSTER_ON_COURT,TIME_SECONDS,NEXT_TIME_SECONDS,DURATION_SECONDS,PTS,FGM,FGA,3PM,3PA,FTM,FTA,FOULS,TO,AST,STL,OREB,DREB,Driver/Shooter,Playmaker,Unclassified,Post Scorer,Rebounder,Not Scouted,Spot-Up Shooter
20:00,,Marcus Haupert vs Rashad Rogers (Simpson gains possession),(0-0),6513261,2025-11-25,Wis.-Whitewater,Simpson,1,0.0,0.0,0.0,0.0,,0,0,False,Marcus Haupert,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1200,1178.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
19:38,,2 Pointer MISSED by Simpson's Marcus Haupert,,6513261,2025-11-25,Wis.-Whitewater,Simpson,1,,,0.0,0.0,Simpson,0,0,False,Marcus Haupert,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1178,1175.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
19:35,,Defensive rebound by Wis.-Whitewater's Luke Bara,,6513261,2025-11-25,Wis.-Whitewater,Simpson,1,,,0.0,0.0,Wis.-Whitewater,0,0,False,Luke Bara,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1175,1153.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
19:13,,Turnover by Wis.-Whitewater 's Richie Warren,,6513261,2025-11-25,Wis.-Whitewater,Simpson,1,,,0.0,0.0,,0,0,True,Richie Warren,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1153,1153.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
19:13,,Steal by Simpson's Cam Henderson,,6513261,2025-11-25,Wis.-Whitewater,Simpson,1,,,0.0,0.0,Simpson,0,0,False,Cam Henderson,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1153,1144.0,9.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
19:04,,2 Pointer by Wis.-Whitewater's Collin Madson,(0-2),6513261,2025-11-25,Wis.-Whitewater,Simpson,1,2.0,0.0,0.0,2.0,Wis.-Whitewater,0,2,True,Collin Madson,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1144,1127.0,17.0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
18:47,,Turnover by Simpson 's Levi Gurwell,,6513261,2025-11-25,Wis.-Whitewater,Simpson,1,,,0.0,2.0,,0,0,True,Levi Gurwell,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1127,1127.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
18:47,,Steal by Wis.-Whitewater's Collin Madson,,6513261,2025-11-25,Wis.-Whitewater,Simpson,1,,,0.0,2.0,Wis.-Whitewater,0,0,False,Collin Madson,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1127,1120.0,7.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
18:40,,Jumper by Wis.-Whitewater's Luke Bara,(0-5),6513261,2025-11-25,Wis.-Whitewater,Simpson,1,5.0,0.0,0.0,5.0,Wis.-Whitewater,0,3,True,Luke Bara,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1120,1120.0,0.0,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
18:40,,Assist by Wis.-Whitewater's Richie Warren,,6513261,2025-11-25,Wis.-Whitewater,Simpson,1,,,0.0,5.0,Wis.-Whitewater,0,0,False,Richie Warren,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1120,1105.0,15.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
18:25,,Jumper by Simpson's Cam Henderson,(3-5),6513261,2025-11-25,Wis.-Whitewater,Simpson,1,5.0,3.0,3.0,5.0,Simpson,3,0,True,Cam Henderson,"Collin Madson,Isaac Verges,Luke Bara,Rashad Rogers,Richie Warren","Cam Henderson,Colton Rasmussen,Levi Gurwell,Marcus Haupert,Spencer Holley",1105,1105.0,0.0,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
