TIME,TEAM,PLAY,SCORE,Game,Date,TEAM_NAME,OPPONENT_NAME,HALF,TEAM_SCORE,OPPONENT_SCORE,OPPONENT_SCORE_FILLED,TEAM_SCORE_FILLED,ACTING_TEAM,OPPONENT_POINTS,TEAM_POINTS,IS_END_OF_POSSESSION,PLAYER,TEAM_ROSTER_ON_COURT,OPPONENT_ROSTER_ON_COURT,TIME_SECONDS,NEXT_TIME_SECONDS,DURATION_SECONDS,PTS,FGM,FGA,3PM,3PA,FTM,FTA,FOULS,TO,AST,STL,OREB,DREB,Driver/Shooter,Spot-Up Shooter,Rebounder,Post Scorer,Not Scouted,Driver/Slasher
20:00,,Casey Schoenecker vs Richie Warren (Lawrence gains possession),(0-0),6513263,2025-12-10,Wis.-Whitewater,Lawrence,1,0.0,0.0,0.0,0.0,,0,0,False,Casey Schoenecker,"Brock Marino,Collin Madson,Isaac Verges,Luke Bara,Richie Warren","CJ Campbell,Casey Schoenecker,Hogan Demovsky,Nathan Valentine,Nicholas Gouriotis",1200,1184.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0
19:44,,Jumper MISSED by Lawrence's CJ Campbell,,6513263,2025-12-10,Wis.-Whitewater,Lawrence,1,,,0.0,0.0,Lawrence,0,0,False,CJ Campbell,"Brock Marino,Collin Madson,Isaac Verges,Luke Bara,Richie Warren","CJ Campbell,Casey Schoenecker,Hogan Demovsky,Nathan Valentine,Nicholas Gouriotis",1184,1178.0,6.0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0
19:38,,Offensive rebound by Lawrence's Hogan Demovsky,,6513263,2025-12-10,Wis.-Whitewater,Lawrence,1,,,0.0,0.0,Lawrence,0,0,False,Hogan Demovsky,"Brock Marino,Collin Madson,Isaac Verges,Luke Bara,Richie Warren","CJ Campbell,Casey Schoenecker,Hogan Demovsky,Nathan Valentine,Nicholas Gouriotis",1178,1178.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,0
19:38,,2 Pointer by Lawrence's Hogan Demovsky,(0-2),6513263,2025-12-10,Wis.-Whitewater,Lawrence,1,0.0,2.0,2.0,0.0,Lawrence,2,0,True,Hogan Demovsky,"Brock Marino,Collin Madson,Isaac Verges,Luke Bara,Richie Warren","CJ Campbell,Casey Schoenecker,Hogan Demovsky,Nathan Valentine,Nicholas Gouriotis",1178,1164.0,14.0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0
19:24,,Turnover by Wis.-Whitewater 's Brock Marino,,6513263,2025-12-10,Wis.-Whitewater,Lawrence,1,,,2.0,0.0,,0,0,True,Brock Marino,"Brock Marino,Collin Madson,Isaac Verges,Luke Bara,Richie Warren","CJ Campbell,Casey Schoenecker,Hogan Demovsky,Nathan Valentine,Nicholas Gouriotis",1164,1164.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0
19:24,,Steal by Lawrence's Nicholas Gouriotis,,6513263,2025-12-10,Wis.-Whitewater,Lawrence,1,,,2.0,0.0,Lawrence,0,0,False,Nicholas Gouriotis,"Brock Marino,Collin Madson,Isaac Verges,Luke Bara,Richie Warren","CJ Campbell,Casey Schoenecker,Hogan Demovsky,Nathan Valentine,Nicholas Gouriotis",1164,1158.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,0,0
19:18,,Turnover by Lawrence 's Hogan Demovsky,,6513263,2025-12-10,Wis.-Whitewater,Lawrence,1,,,2.0,0.0,,0,0,True,Hogan Demovsky,"Brock Marino,Collin Madson,Isaac Verges,Luke Bara,Richie Warren","CJ Campbell,Casey Schoenecker,Hogan Demovsky,Nathan Valentine,Nicholas Gouriotis",1158,1143.0,15.0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,0,0
19:03,,Jumper MISSED by Wis.-Whitewater's Luke Bara,,6513263,2025-12-10,Wis.-Whitewater,Lawrence,1,,,2.0,0.0,Wis.-Whitewater,0,0,False,Luke Bara,"Brock Marino,Collin Madson,Isaac Verges,Luke Bara,Richie Warren","CJ Campbell,Casey Schoenecker,Hogan Demovsky,Nathan Valentine,Nicholas Gouriotis",1143,1138.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0
18:58,,Defensive rebound by Lawrence's Hogan Demovsky,,6513263,2025-12-10,Wis.-Whitewater,Lawrence,1,,,2.0,0.0,Lawrence,0,0,False,Hogan Demovsky,"Brock Marino,Collin Madson,Isaac Verges,Luke Bara,Richie Warren","CJ Campbell,Casey Schoenecker,Hogan Demovsky,Nathan Valentine,Nicholas Gouriotis",1138,1117.0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,0
18:37,,Jumper MISSED by Lawrence's CJ Campbell,,6513263,2025-12-10,Wis.-Whitewater,Lawrence,1,,,2.0,0.0,Lawrence,0,0,False,CJ Campbell,"Brock Marino,Collin Madson,Isaac Verges,Luke Bara,Richie Warren","CJ Campbell,Casey Schoenecker,Hogan Demovsky,Nathan Valentine,Nicholas Gouriotis",1117,1113.0,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,1,1,0,0
