Half,Play_Result,Play_Player,Team,Date,Opponent,Points,Field_Goals_Made,Field_Goals_Missed,3P_Field_Goals_Made,3P_Field_Goals_Missed,FT_Made,FT_Missed,Rebound_Off,Rebound_Def,Rebound_Total,Assists,Turnovers
1,MISS LAYUP,"BIEWEN,ADAM",OPP,11/10/23,Gust.,0,0,1,0,0,0,0,0,0,0,0,0
1,REBOUND OFF,"BIEWEN,ADAM",OPP,11/10/23,Gust.,0,0,0,0,0,0,0,1,0,1,0,0
1,BLOCK ,"CAPSTRAN,CARTER",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,0
1,TURNOVER ,"BIEWEN,ADAM",OPP,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,1
1,STEAL ,"KELLEY,JAMES",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,0
1,GOOD LAYUP,"KELLEY,JAMES",UWW,11/10/23,Gust.,2,1,0,0,0,0,0,0,0,0,0,0
1,MISS JUMPER,"WIEKER,EVAN",OPP,11/10/23,Gust.,0,0,1,0,0,0,0,0,0,0,0,0
1,REBOUND DEF,"BARKER,JAMEER",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,0,1,1,0,0
1,FOUL ,"WIEKER,EVAN",OPP,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,0
1,MISS FT,"CAPSTRAN,CARTER",UWW,11/10/23,Gust.,0,0,0,0,0,0,1,0,0,0,0,0
1,REBOUND DEADB,TEAM,UWW,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,0
1,MISS FT,"CAPSTRAN,CARTER",UWW,11/10/23,Gust.,0,0,0,0,0,0,1,0,0,0,0,0
1,REBOUND OFF,"KELLEY,JAMES",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,1,0,1,0,0
1,FOUL ,"BIEWEN,ADAM",OPP,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,0
1,GOOD FT,"BARNSTABLE,MILES",UWW,11/10/23,Gust.,1,0,0,0,0,1,0,0,0,0,0,0
1,GOOD FT,"BARNSTABLE,MILES",UWW,11/10/23,Gust.,1,0,0,0,0,1,0,0,0,0,0,0
1,FOUL ,"BARNSTABLE,MILES",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,0
1,FOUL ,"KELLEY,JAMES",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,0
1,MISS FT,"SWANSON,SPENCER",OPP,11/10/23,Gust.,0,0,0,0,0,0,1,0,0,0,0,0
1,REBOUND DEADB,TEAM,OPP,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,0
1,GOOD FT,"SWANSON,SPENCER",OPP,11/10/23,Gust.,1,0,0,0,0,1,0,0,0,0,0,0
1,MISS 3PTR,"BARNSTABLE,MILES",UWW,11/10/23,Gust.,0,0,1,0,1,0,0,0,0,0,0,0
1,REBOUND OFF,"CAPSTRAN,CARTER",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,1,0,1,0,0
1,MISS LAYUP,"CHISLOM,TREVON",UWW,11/10/23,Gust.,0,0,1,0,0,0,0,0,0,0,0,0
1,REBOUND DEF,"SWANSON,SPENCER",OPP,11/10/23,Gust.,0,0,0,0,0,0,0,0,1,1,0,0
1,MISS 3PTR,"KIENITZ,BRADY",OPP,11/10/23,Gust.,0,0,1,0,1,0,0,0,0,0,0,0
1,REBOUND DEF,"KELLEY,JAMES",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,0,1,1,0,0
1,GOOD LAYUP,"BARNSTABLE,MILES",UWW,11/10/23,Gust.,2,1,0,0,0,0,0,0,0,0,0,0
1,ASSIST ,"BARKER,JAMEER",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,1,0
1,GOOD LAYUP,"OLSON,WYATT",OPP,11/10/23,Gust.,2,1,0,0,0,0,0,0,0,0,0,0
1,ASSIST ,"SWANSON,SPENCER",OPP,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,1,0
1,MISS 3PTR,"BARKER,JAMEER",UWW,11/10/23,Gust.,0,0,1,0,1,0,0,0,0,0,0,0
1,REBOUND OFF,"CAPSTRAN,CARTER",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,1,0,1,0,0
1,MISS LAYUP,"CAPSTRAN,CARTER",UWW,11/10/23,Gust.,0,0,1,0,0,0,0,0,0,0,0,0
1,REBOUND DEF,"BIEWEN,ADAM",OPP,11/10/23,Gust.,0,0,0,0,0,0,0,0,1,1,0,0
1,MISS 3PTR,"KIENITZ,BRADY",OPP,11/10/23,Gust.,0,0,1,0,1,0,0,0,0,0,0,0
1,REBOUND DEF,"BARNSTABLE,MILES",UWW,11/10/23,Gust.,0,0,0,0,0,0,0,0,1,1,0,0
1,MISS JUMPER,"BARNSTABLE,MILES",UWW,11/10/23,Gust.,0,0,1,0,0,0,0,0,0,0,0,0
1,REBOUND DEF,"SWANSON,SPENCER",OPP,11/10/23,Gust.,0,0,0,0,0,0,0,0,1,1,0,0
1,FOUL ,"SWANSON,SPENCER",OPP,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,0
1,TURNOVER ,"SWANSON,SPENCER",OPP,11/10/23,Gust.,0,0,0,0,0,0,0,0,0,0,0,1
